# y+ ()       
# Time        	patch         	min           	max           	average       
273           	trup	1.114475e+01	3.870557e+02	6.101134e+01
274           	trup	1.091023e+01	3.870815e+02	6.100131e+01
275           	trup	1.069008e+01	3.871077e+02	6.099161e+01
276           	trup	1.048397e+01	3.871344e+02	6.098223e+01
277           	trup	1.029225e+01	3.871615e+02	6.097319e+01
278           	trup	1.011358e+01	3.871889e+02	6.096445e+01
279           	trup	9.942876e+00	3.872167e+02	6.095579e+01
280           	trup	9.776867e+00	3.872447e+02	6.094734e+01
281           	trup	9.616331e+00	3.872729e+02	6.093918e+01
282           	trup	9.463530e+00	3.873011e+02	6.093131e+01
283           	trup	9.321637e+00	3.873292e+02	6.092374e+01
284           	trup	9.192877e+00	3.873572e+02	6.091644e+01
285           	trup	9.077981e+00	3.873850e+02	6.090941e+01
286           	trup	8.976558e+00	3.874124e+02	6.090264e+01
287           	trup	8.887487e+00	3.874396e+02	6.089612e+01
288           	trup	8.809076e+00	3.874665e+02	6.088985e+01
289           	trup	8.739453e+00	3.874932e+02	6.088382e+01
290           	trup	8.676724e+00	3.875196e+02	6.087803e+01
291           	trup	8.619250e+00	3.875458e+02	6.087249e+01
292           	trup	8.565813e+00	3.875716e+02	6.086718e+01
293           	trup	8.515759e+00	3.875970e+02	6.086209e+01
294           	trup	8.468447e+00	3.876219e+02	6.085724e+01
295           	trup	8.424413e+00	3.876464e+02	6.085260e+01
296           	trup	8.383800e+00	3.876703e+02	6.084818e+01
297           	trup	8.346811e+00	3.876937e+02	6.084397e+01
298           	trup	8.313542e+00	3.877166e+02	6.083997e+01
299           	trup	8.284025e+00	3.877388e+02	6.083617e+01
300           	trup	8.258049e+00	3.877606e+02	6.083257e+01
301           	trup	8.235315e+00	3.877817e+02	6.082917e+01
302           	trup	8.215440e+00	3.878024e+02	6.082596e+01
303           	trup	8.198068e+00	3.878226e+02	6.082295e+01
304           	trup	8.182891e+00	3.878424e+02	6.082012e+01
305           	trup	8.169679e+00	3.878619e+02	6.081748e+01
306           	trup	8.158306e+00	3.878809e+02	6.081501e+01
307           	trup	8.148623e+00	3.878996e+02	6.081271e+01
308           	trup	8.140564e+00	3.879181e+02	6.081059e+01
309           	trup	8.134047e+00	3.879365e+02	6.080864e+01
310           	trup	8.128987e+00	3.879547e+02	6.080686e+01
311           	trup	8.125312e+00	3.879730e+02	6.080525e+01
